Submodel_Name,Powertrain_Name,Powertrain_Link,Related_Models,Markets_Sold,EEC_segmentation,Body_Style,Traction,Length,Width,Height,Wheelbase,Weight,Engine_Manufacturer,Engine_Type,Fuel_Type,Fuel_System,Charge_System,Valves_Per_Cylinder,Additional_Features,Cylinders_Alignment,Displacement,Horsepower,Torque,Transmission,Transmission_Type,Number_Of_Gears,Top_Speed,0_100_kmh_(sec),ECE90_120_city_comb,EU_NEDC_Australia_ADR82,Battery_Capacity,Battery_Capacity_Net,E_Power_Cons_NEDC_comb,E_Power_Cons_WLTP_comb,E_Range_NEDC_comb,E_Range_WLTP_comb,E_Range_NEDC_city,E_Range_WLTP_city,Simulation_Based_Consumption
2003 Alfa Romeo 147 serie 1 ,Alfa Romeo 147 2.0 Twin Spark 16V (man. 5 speed),/car/2003/221345/alfa_romeo_147_2_0_twin_spark_16v_distinctive.html,,Europe        Australia,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4170 mm / 164.2 in,1729 mm / 68.1 in,1420 mm / 55.9 in,2546 mm / 100.2 in,1250 kg / 2756 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1970 cm3 / 120.3 cui,110 kW / 150 PS / 148 hp  (ECE),181 Nm / 133 ft-lb,,manual,5,208 km/h / 129 mph,9.3, ,12.1 / 7 / 8.9 l/100km,,,,,,,,,7.9-9.5 / 12.4-14.9 / 9.6-11.5 / 10.5
2003 Alfa Romeo 147 serie 1 ,Alfa Romeo 147 2.0 Twin Spark 16V Selespeed (s-aut. 5 speed),/car/2003/221240/alfa_romeo_147_2_0_twin_spark_16v_distinctive_selespeed.html,,Europe        Australia,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4170 mm / 164.2 in,1729 mm / 68.1 in,1420 mm / 55.9 in,2546 mm / 100.2 in,1250 kg / 2756 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1970 cm3 / 120.3 cui,110 kW / 150 PS / 148 hp  (ECE),181 Nm / 133 ft-lb,Selespeed,semi-automatic (automated manual),5,208 km/h / 129 mph,9.3, ,12.1 / 7 / 8.9 l/100km,,,,,,,,,7.9-9.5 / 12.6-15.1 / 9.6-11.5 / 10.6
2003 Alfa Romeo 147 serie 1 ,Alfa Romeo 147 1.9 JTD 100 (man. 5 speed),/car/2003/221420/alfa_romeo_147_1_9_jtd_100_impression.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4170 mm / 164.2 in,1729 mm / 68.1 in,1439 mm / 56.7 in,2546 mm / 100.2 in,1270 kg / 2800 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,2,"Bosch EDC15; variable geometry turbo 1,0bar",Line 4,1910 cm3 / 116.7 cui,73.5 kW / 100 PS / 99 hp  (ECE),200 Nm / 147 ft-lb,,manual,5,183 km/h / 114 mph,12.1, ,7.8 / 4.7 / 5.8 l/100km,,,,,,,,,4.5-5.4 / 6.8-8.2 / 5.6-6.7 / 5.9
2003 Alfa Romeo 147 serie 1 ,Alfa Romeo 147 1.9 JTD 115 (man. 5 speed),/car/2003/221270/alfa_romeo_147_1_9_jtd_115_progression.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4170 mm / 164.2 in,1729 mm / 68.1 in,1439 mm / 56.7 in,2546 mm / 100.2 in,1270 kg / 2800 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,2,"Bosch EDC15; variable geometry turbo 1,0bar",Line 4,1910 cm3 / 116.7 cui,84.5 kW / 115 PS / 113 hp  (ECE),275 Nm / 203 ft-lb,,manual,5,191 km/h / 119 mph,9.9, ,7.8 / 4.7 / 5.8 l/100km,,,,,,,,,4.8-5.8 / 7.7-9.2 / 5.9-7.1 / 6.5
2003 Alfa Romeo 147 serie 1 ,Alfa Romeo 147 1.9 JTD 16V (man. 6 speed),/car/2003/221435/alfa_romeo_147_1_9_jtd_16v_progression.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4170 mm / 164.2 in,1729 mm / 68.1 in,1439 mm / 56.7 in,2546 mm / 100.2 in,1290 kg / 2844 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,4,"Bosch EDC16; variable geometry turbo 1,0bar",Line 4,1910 cm3 / 116.7 cui,103 kW / 140 PS / 138 hp  (ECE),305 Nm / 225 ft-lb,,manual,6,206 km/h / 128 mph,9.1, ,8 / 4.7 / 5.9 l/100km,,,,,,,,,4.7-5.6 / 8.1-9.7 / 5.4-6.5 / 6.5
2009 Alfa Romeo 147 serie 2 ,Alfa Romeo 147 1.9 JTDm (man. 5 speed),/car/2009/1184585/alfa_romeo_147_1_9_jtdm_moving.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4223 mm / 166.3 in,1729 mm / 68.1 in,1442 mm / 56.8 in,2546 mm / 100.2 in,1290 kg / 2844 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,2,Multijet; Garrett VGT17 variable geometry turbo; intercooler,Line 4,1910 cm3 / 116.7 cui,88 kW / 120 PS / 118 hp  (ECE),280 Nm / 206 ft-lb,,manual,5,193 km/h / 120 mph,9.6, ,7.8 / 4.7 / 5.8 l/100km,,,,,,,,,4.8-5.8 / 7.7-9.2 / 5.8-7 / 6.5
2009 Alfa Romeo 147 serie 2 ,Alfa Romeo 147 1.9 JTDm 16V (man. 6 speed),/car/2009/1184555/alfa_romeo_147_1_9_jtdm_16v_veloce.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4223 mm / 166.3 in,1729 mm / 68.1 in,1442 mm / 56.8 in,2546 mm / 100.2 in,1310 kg / 2888 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,4,Multijet; VNG variable geometry turbo; intercooler,Line 4,1910 cm3 / 116.7 cui,125 kW / 170 PS / 168 hp  (ECE),330 Nm / 243 ft-lb,,manual,6,215 km/h / 134 mph,8, ,8 / 4.8 / 5.9 l/100km,,,,,,,,,4.8-5.8 / 8.3-10 / 5.4-6.5 / 6.7
2009 Alfa Romeo 147 serie 2 ,Alfa Romeo 147 Ducati Corse (man. 6 speed),/car/2009/1369670/alfa_romeo_147_ducati_corse.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4223 mm / 166.3 in,1729 mm / 68.1 in,1442 mm / 56.8 in,2546 mm / 100.2 in,1310 kg / 2888 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,4,Multijet; VNG variable geometry turbo; intercooler,Line 4,1910 cm3 / 116.7 cui,125 kW / 170 PS / 168 hp  (ECE),330 Nm / 243 ft-lb,,manual,6,215 km/h / 134 mph,8, ,8 / 4.8 / 5.9 l/100km,,,,,,,,,4.8-5.8 / 8.3-10 / 5.4-6.5 / 6.7
2005 Alfa Romeo 156 Crosswagon ,Alfa Romeo 156 Crosswagon Q4 (man. 6 speed),/car/2005/220625/alfa_romeo_156_crosswagon_q4.html,,Europe,D (large cars),station wagon,"4x4 full-time (all-wheel drive permanent, torsen center differential)",4441 mm / 174.8 in,1765 mm / 69.5 in,1472 mm / 58 in,2597 mm / 102.2 in,1530 kg / 3373 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,4,variable geometry Garett GT1749V turbo 1.0bar,Line 4,1910 cm3 / 116.7 cui,110 kW / 150 PS / 148 hp  (ECE),305 Nm / 225 ft-lb,,manual,6,192 km/h / 119 mph,10.5, ,9.3 / 5.8 / 7.1 l/100km,,,,,,,,,5.4-6.5 / 8.6-10.3 / 6.4-7.7 / 7.2
2004 Alfa Romeo 156 GTA Sedan ,Alfa Romeo 156 GTA (man. 6 speed),/car/2004/220130/alfa_romeo_156_gta.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4435 mm / 174.6 in,1765 mm / 69.5 in,1402 mm / 55.2 in,2595 mm / 102.2 in,1410 kg / 3108 lbs,AR 161 series,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7.3.1,V 6,3179 cm3 / 193.8 cui,184 kW / 250 PS / 247 hp  (ECE),300 Nm / 221 ft-lb,,manual,6,250 km/h / 155 mph,6.3, ,18 / 8.6 / 12.1 l/100km,,,,,,,,,9.6-11.5 / 17.1-20.5 / 10.6-12.7 / 13.6
