#j,#i,Submodel_Name,Powertrain_Name,Powertrain_Link
1031,1,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 2.0 TFSI (man. 6) ,/car/2013/1588445/audi_a6_avant_2_0_tfsi.html
1032,2,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 2.0 TFSI Multitronic (cont. 8 pre-programmed) ,/car/2013/1588460/audi_a6_avant_2_0_tfsi_multitronic.html
1033,3,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 2.8 FSI (man. 6) ,/car/2013/1588475/audi_a6_avant_2_8_fsi.html
1034,4,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 2.8 FSI Multitronic (cont. 8 pre-programmed) ,/car/2013/1588490/audi_a6_avant_2_8_fsi_multitronic.html
1035,5,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 2.0 TDI (177) (man. 6) ,/car/2013/1588505/audi_a6_avant_2_0_tdi.html
1036,6,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 2.0 TDI (177) Multitronic (cont. 8 pre-programmed) ,/car/2013/1588520/audi_a6_avant_2_0_tdi_multitronic.html
1037,7,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 3.0 TDI (man. 6) ,/car/2013/1588535/audi_a6_avant_3_0_tdi.html
1038,8,Audi A6 2WD Avant C7 phase-I,Audi A6 Avant 3.0 TDI Multitronic (cont. 8 pre-programmed) ,/car/2013/1588550/audi_a6_avant_3_0_tdi_multitronic.html
1039,1,Audi A6 2WD Avant C7 phase-II,Audi A6 Avant 1.8 TFSI Ultra (190) S-Tronic (d-cl. 7) ,/car/2017/2095505/audi_a6_avant_1_8_tfsi_190_s-tronic.html
1040,2,Audi A6 2WD Avant C7 phase-II,Audi A6 Avant 2.0 TDI Ultra (150) (man. 6) ,/car/2017/2095535/audi_a6_avant_2_0_tdi_ultra_150.html
1041,3,Audi A6 2WD Avant C7 phase-II,Audi A6 Avant 2.0 TDI Ultra (150) S-Tronic (d-cl. 7) ,/car/2017/2095550/audi_a6_avant_2_0_tdi_ultra_150_s-tronic.html
1042,4,Audi A6 2WD Avant C7 phase-II,Audi A6 Avant 2.0 TDI Ultra (190) (man. 6) ,/car/2017/2095565/audi_a6_avant_2_0_tdi_ultra_190.html
