Make,Model_Name,Model_StartYear,Model_EndYear,Model_Link
Make,Model_Name,Model_StartYear,Model_EndYear,Model_Link
Citroen,Citroen 2 CV,1949,1990,/model/citroen/2_cv.html
Citroen,Citroen 2 CV Prototype (TPV),1939,1939,/model/citroen/2_cv_prototype.html
Citroen,Citroen 5 CV,1921,1921,/model/citroen/c_5cv.html
Citroen,Citroen A 4x4,1981,1985,/model/citroen/a_4x4.html
Citroen,Citroen Acadiane,1978,1987,/model/citroen/acadiane.html
Citroen,Citroen Ami,1961,1978,/model/citroen/ami.html
Citroen,Citroen AX,1986,1998,/model/citroen/ax.html
Citroen,Citroen Axel,1984,1990,/model/citroen/axel.html
Citroen,Citroen Berlingo 1st generation,1996,2010,/model/citroen/berlingo_1gen.html
Citroen,Citroen Berlingo 2nd generation,2008,2018,/model/citroen/berlingo_2gen.html
Citroen,Citroen BX,1982,1994,/model/citroen/bx.html
Citroen,Citroen BX 4 TC,1985,1985,/model/citroen/bx_4tc.html
Citroen,Citroen C-10 Concept,1958,1958,/model/citroen/c-10_prototype.html
Citroen,Citroen C-Airplay Concept,2005,2005,/model/citroen/c-airplay.html
Citroen,Citroen C-Crosser,2006,2012,/model/citroen/c-crosser_1gen.html
Citroen,Citroen C-Elysee,2013,,/model/citroen/c-elysee.html
Citroen,Citroen C-Zero,2011,2020,/model/citroen/c-zero.html
Citroen,Citroen C1 1st generation,2005,2014,/model/citroen/c1_1gen.html
Citroen,Citroen C1 2nd generation,2014,,/model/citroen/c1_2gen.html
Citroen,Citroen C2,2003,2009,/model/citroen/c2_1gen.html
Citroen,Citroen C3 1st generation,2001,2010,/model/citroen/c3_1gen.html
Citroen,Citroen C3 2nd generation,2009,2016,/model/citroen/c3_2gen.html
Citroen,Citroen C3 3rd generation,2016,,/model/citroen/c3_3gen.html
Citroen,Citroen C3 Aircross,2017,,/model/citroen/c3_aircross.html
Citroen,Citroen C3 Picasso,2008,2017,/model/citroen/c3_picasso_1gen.html
Citroen,Citroen C3 Pluriel,2003,2010,/model/citroen/c3_pluriel.html
Citroen,Citroen C4 1st generation,2004,2011,/model/citroen/c4_1gen.html
Citroen,Citroen C4 2nd generation,2011,2017,/model/citroen/c4_2gen.html
Citroen,Citroen C4 3rd generation,2020,,/model/citroen/c4_3gen.html
Citroen,Citroen C4 Aircross,2012,2017,/model/citroen/c4_aircross.html
Citroen,Citroen C4 Cactus,2014,2020,/model/citroen/c4_cactus.html
