#j,#i,Submodel_Name,Powertrain_Name,Powertrain_Link
501,6,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),"Audi A3 Sportback 1.8 TFSI (180) (man. 6)  (Attraction, Ambition, Ambiente)",/car/2015/1916945/audi_a3_sportback_1_8_tfsi.html
502,7,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),"Audi A3 Sportback 1.8 TFSI (180) S-Tronic (d-cl. 7)  (Attraction, Ambition, Ambiente)",/car/2015/1764755/audi_a3_sportback_1_8_tfsi_s-tronic.html
503,8,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),"Audi A3 Sportback 1.6 TDI (110) Clean Diesel (man. 6)  (Attraction, Ambition, Ambiente)",/car/2015/2171165/audi_a3_sportback_1_6_tdi_110_clean_diesel.html
504,9,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),"Audi A3 Sportback 1.6 TDI (110) Clean Diesel S-Tronic (d-cl. 7)  (Attraction, Ambition, Ambiente)",/car/2015/2171180/audi_a3_sportback_1_6_tdi_110_clean_diesel_s-tronic.html
505,10,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),Audi A3 Sportback 1.6 TDI Ultra (110) (man. 6)  (Attraction),/car/2015/2042330/audi_a3_sportback_1_6_tdi_ultra_110.html
506,11,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),"Audi A3 Sportback 2.0 TDI (150) Clean Diesel (man. 6)  (Attraction, Ambition, Ambiente)",/car/2015/1917035/audi_a3_sportback_2_0_tdi_150_clean_diesel.html
507,12,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),"Audi A3 Sportback 2.0 TDI (150) Clean Diesel S-Tronic (d-cl. 6)  (Attraction, Ambition, Ambiente)",/car/2015/2171195/audi_a3_sportback_2_0_tdi_150_clean_diesel_s-tronic.html
508,13,Audi A3 2WD Sportback 3rd-gen. phase-I (8V),"Audi A3 Sportback 2.0 TDI (184) Clean Diesel (man. 6)  (Attraction, Ambition, Ambiente)",/car/2015/2042270/audi_a3_sportback_2_0_tdi_184_clean_diesel.html
509,1,Audi A3 2WD Sportback 3rd-gen. phase-II (8V),Audi A3 Sportback 30 TFSI (man. 6) ,/car/2019/2796065/audi_a3_sportback_30_tfsi.html
510,2,Audi A3 2WD Sportback 3rd-gen. phase-II (8V),Audi A3 Sportback 30 TFSI S-Tronic (d-cl. 7) ,/car/2019/2796080/audi_a3_sportback_30_tfsi_s-tronic.html
511,3,Audi A3 2WD Sportback 3rd-gen. phase-II (8V),Audi A3 Sportback 35 TFSI (man. 6) ,/car/2019/2796095/audi_a3_sportback_35_tfsi.html
512,4,Audi A3 2WD Sportback 3rd-gen. phase-II (8V),Audi A3 Sportback 35 TFSI S-Tronic (d-cl. 7) ,/car/2019/2796110/audi_a3_sportback_35_tfsi_s-tronic.html
513,5,Audi A3 2WD Sportback 3rd-gen. phase-II (8V),Audi A3 Sportback 30 TDI (man. 6) ,/car/2019/2796020/audi_a3_sportback_30_tdi.html
514,6,Audi A3 2WD Sportback 3rd-gen. phase-II (8V),Audi A3 Sportback 30 TDI S-Tronic (d-cl. 7) ,/car/2019/2796035/audi_a3_sportback_30_tdi_s-tronic.html
515,7,Audi A3 2WD Sportback 3rd-gen. phase-II (8V),Audi A3 Sportback 35 TDI S-Tronic (d-cl. 7) ,/car/2019/2796050/audi_a3_sportback_35_tdi_s-tronic.html
516,1,Audi A3 Cabriolet 2nd-gen. (8P),Audi A3 Cabriolet 1.2 TFSI (man. 6) ,/car/2012/1335995/audi_a3_cabriolet_1_2_tfsi.html
517,2,Audi A3 Cabriolet 2nd-gen. (8P),Audi A3 Cabriolet 1.4 TFSI (man. 6) ,/car/2012/1438010/audi_a3_cabriolet_1_4_tfsi.html
518,3,Audi A3 Cabriolet 2nd-gen. (8P),Audi A3 Cabriolet 1.8 TFSI (man. 6) ,/car/2012/1336025/audi_a3_cabriolet_1_8_tfsi.html
519,4,Audi A3 Cabriolet 2nd-gen. (8P),Audi A3 Cabriolet 1.8 TFSI S-Tronic (d-cl. 7) ,/car/2012/1336040/audi_a3_cabriolet_1_8_tfsi_s-tronic.html
