Submodel_Name,Powertrain_Name,Powertrain_Link,Related_Models,Markets_Sold,EEC_segmentation,Body_Style,Traction,Length,Width,Height,Wheelbase,Weight,Engine_Manufacturer,Engine_Type,Fuel_Type,Fuel_System,Charge_System,Valves_Per_Cylinder,Additional_Features,Cylinders_Alignment,Displacement,Horsepower,Torque,Transmission,Transmission_Type,Number_Of_Gears,Top_Speed,0_100_kmh_(sec),ECE90_120_city_comb,EU_NEDC_Australia_ADR82,Battery_Capacity,Battery_Capacity_Net,E_Power_Cons_NEDC_comb,E_Power_Cons_WLTP_comb,E_Range_NEDC_comb,E_Range_WLTP_comb,E_Range_NEDC_city,E_Range_WLTP_city,Simulation_Based_Consumption
2021 BMW i3 Hatchback ,BMW i3 S (aut. 1 speed),/car/2021/2966780/bmw_i3_s.html,,Europe,"B (small cars, city cars)",hatchback,RWD (rear- wheel drive),4006 mm / 157.7 in,1791 mm / 70.5 in,1590 mm / 62.6 in,2570 mm / 101.2 in,1290 kg / 2844 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,Hybridsynchron Electric Motor, ,0 cm3 /  cui,135 kW / 184 PS / 181 hp  (ECE),270 Nm / 199 ft-lb,,automatic,1,160 km/h / 99 mph,6.9, , ,42.2 kWh,37.9 kWh,14 kWh / 100km,,271 km / 168 miles,,345 km / 214 miles,285 km / 177 miles,- / - / - / 
2015 BMW X1 E84 phase-III xDrive (4WD) ,BMW X1 xDrive18d (man. 6 speed),/car/2015/2036375/bmw_x1_xdrive18d.html,,Europe,"J (C) (sport utility cars and off-road vehicles - segment C - medium, compact)",sport-utility wagon,"4x4 (four-wheel drive xDrive, 40/60 torque distribution in normal conditions, front engaged automatically by the multi-plate wet clutch, continous torque split, brake application by DSC if the wheelspin is detected)",4477 mm / 176.3 in,1798 mm / 70.8 in,1545 mm / 60.8 in,2760 mm / 108.7 in,1565 kg / 3450 lbs,BMW N47D20,diesel,diesel fuel,common rail,turbocharger,4,"commonrail 1600 bar; variable turbo (BMW Twin Power Turbo); intercooler, Start-Stop system",Line 4,1995 cm3 / 121.8 cui,105 kW / 143 PS / 141 hp  (ECE),320 Nm / 236 ft-lb,,manual,6,195 km/h / 121 mph,9.9, ,6.5 / 4.8 / 5.5 l/100km,,,,,,,,,5.1-6.1 / 7.8-9.4 / 6-7.2 / 6.7
2011 BMW X1 E84 phase-I sDrive (2WD) ,BMW X1 sDrive20i Steptronic (aut. 8 speed),/car/2011/1589990/bmw_x1_sdrive20i_steptronic.html,,Europe,"J (C) (sport utility cars and off-road vehicles - segment C - medium, compact)",sport-utility wagon,RWD (rear- wheel drive),4454 mm / 175.4 in,1798 mm / 70.8 in,1545 mm / 60.8 in,2760 mm / 108.7 in,1510 kg / 3329 lbs,BMW N20B20,spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,turbocharger,4,"High Precision Injection, turbo (""Twin Power Turbo"" with twin scroll Cylinder-bank Comprehensive Manifold CCM), Start-Stop system",Line 4,1997 cm3 / 122.2 cui,135 kW / 184 PS / 181 hp  (ECE),270 Nm / 199 ft-lb,ZF 8HP series,automatic,8,220 km/h / 137 mph,7.7, ,9.4 / 5.8 / 7.1 l/100km,,,,,,,,,6.7-8 / 11.5-13.8 / 7.5-9 / 9.3
2015 BMW X1 E84 phase-III xDrive (4WD) ,BMW X1 xDrive28i Steptronic (aut. 8 speed),/car/2015/2036630/bmw_x1_xdrive28i_steptronic.html,,Europe,"J (C) (sport utility cars and off-road vehicles - segment C - medium, compact)",sport-utility wagon,"4x4 (four-wheel drive xDrive, 40/60 torque distribution in normal conditions, front engaged automatically by the multi-plate wet clutch, continous torque split, brake application by DSC if the wheelspin is detected)",4477 mm / 176.3 in,1798 mm / 70.8 in,1545 mm / 60.8 in,2760 mm / 108.7 in,1595 kg / 3516 lbs,BMW N20B20,spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,turbocharger,4,"High Precision Injection, turbo (""Twin Power Turbo"" with twin scroll Cylinder-bank Comprehensive Manifold CCM), Start-Stop system, Start-Stop system",Line 4,1997 cm3 / 122.2 cui,180 kW / 245 PS / 241 hp  (ECE),350 Nm / 258 ft-lb,ZF 8HP series,automatic,8,240 km/h / 149 mph,6.4, ,9.1 / 6.1 / 7.2 l/100km,,,,,,,,,7.2-8.6 / 12.1-14.5 / 7.9-9.5 / 9.9
2015 BMW X1 E84 phase-III xDrive (4WD) ,BMW X1 xDrive25d Steptronic (aut. 8 speed),/car/2015/2036600/bmw_x1_xdrive25d_steptronic.html,,Europe,"J (C) (sport utility cars and off-road vehicles - segment C - medium, compact)",sport-utility wagon,"4x4 (four-wheel drive xDrive, 40/60 torque distribution in normal conditions, front engaged automatically by the multi-plate wet clutch, continous torque split, brake application by DSC if the wheelspin is detected)",4477 mm / 176.3 in,1798 mm / 70.8 in,1545 mm / 60.8 in,2760 mm / 108.7 in,1595 kg / 3516 lbs,BMW N47D20,diesel,diesel fuel,common rail,2 turbochargers,4,"commonrail 2000 bar; 2x variable turbo (BMW Twin Power Turbo); intercooler, Start-Stop system",Line 4,1995 cm3 / 121.8 cui,160 kW / 218 PS / 215 hp  (ECE),450 Nm / 332 ft-lb,ZF 8HP series,automatic,8,228 km/h / 142 mph,6.7, ,6.3 / 5.1 / 5.5 l/100km,,,,,,,,,5.5-6.6 / 8.6-10.3 / 5.8-7 / 7.3
2021 Citroen C4 3gen Hatchback ,Citroen C4 1.2 PureTech 130 EAT8 (aut. 8 speed),/car/2021/2969360/citroen_c4_1_2_puretech_130_eat8.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4355 mm / 171.5 in,1800 mm / 70.9 in,1520 mm / 59.8 in,2670 mm / 105.1 in,1278 kg / 2817 lbs,PSA EB2-series,spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,turbocharger,4,Start-Stop system,Line 3,1199 cm3 / 73 cui,95.5 kW / 130 PS / 128 hp  (ECE),230 Nm / 170 ft-lb,PSA / Aisin,automatic,8,210 km/h / 131 mph,10.2, ,5.6 / 4.4 / 4.8 l/100km,,,,,,,,,5.5-6.6 / 8.2-9.8 / 6.3-7.6 / 7.1
2013 Citroen C8 phase-II MPV ,Citroen C8 HDi 165 Exclusive (man. 6 speed),/car/2013/1452950/citroen_c8_hdi_165_exclusive.html,"FIAT ULYSSE 2gen, LANCIA PHEDRA, PEUGEOT 807",Europe,M (D) (multi purpose cars - segment D - large),multi-purpose wagon,FWD (front-wheel drive),4727 mm / 186.1 in,1854 mm / 73 in,1752 mm / 69 in,2823 mm / 111.1 in,1763 kg / 3887 lbs,PSA DW10C,diesel,diesel fuel,common rail,turbocharger,4,variable turbo; intercooler,Line 4,1997 cm3 / 122 cui,120 kW / 163 PS / 161 hp  (ECE),340 Nm / 251 ft-lb,,manual,6,203 km/h / 126 mph,9.8, ,7.4 / 5 / 5.9 l/100km,,,,,,,,,5.4-6.5 / 8.6-10.3 / 6.2-7.4 / 7.2
2014 Citroen DS4 Hatchback ,Citroen DS4 THP 160 SoChic automatic (aut. 6 speed),/car/2014/1694840/citroen_ds4_thp_160_sochic_automatic.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4275 mm / 168.3 in,1810 mm / 71.3 in,1526 mm / 60.1 in,2612 mm / 102.8 in,1290 kg / 2844 lbs,PSA-BMW Prince-series 1.6L (PSA EP6),spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,turbocharger,4,Bosch MED. 17.4; turbo; intercooler,Line 4,1598 cm3 / 97.5 cui,120 kW / 163 PS / 161 hp  (ECE),240 Nm / 177 ft-lb,PSA / Aisin,automatic,6,212 km/h / 132 mph,8.6, ,10.6 / 6 / 7.7 l/100km,,,,,,,,,6.4-7.7 / 12-14.4 / 7.5-9 / 9.3
2009 Citroen Nemo Van ,Citroen Nemo Van 1.4 (man. 5 speed),/car/2009/1213700/citroen_nemo_van_1_4.html,"FIAT QUBO, PEUGEOT BIPPER, FIAT FIORINO 3gen",Europe,"M (B) (multi purpose cars - segment B - small, city cars)",cargo van,FWD (front-wheel drive),3864 mm / 152.1 in,1721 mm / 67.8 in,1684 mm / 66.3 in,2513 mm / 98.9 in,1070 kg / 2359 lbs,PSA,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,2,Multi-point fuel injection,Line 4,1361 cm3 / 82.8 cui,54 kW / 73 PS / 72 hp  (ECE),118 Nm / 87 ft-lb,,manual,5,157 km/h / 98 mph,15, ,8.8 / 5.9 / 6.9 l/100km,,,,,,,,,6.3-7.6 / 8.7-10.4 / 8.9-10.7 / 7.9
2010 Citroen Metropolis Concept ,Citroen Metropolis (d-cl. 7 speed),/car/2010/1453550/citroen_metropolis.html,,China,F (luxury cars),sedan,4x4 on-demand,5300 mm / 208.7 in,2000 mm / 78.7 in,1400 mm / 55.1 in, mm /  in, ,,spark-ignition 4-stroke,gasoline (petrol),"HEV Hybrid Electric Vehicle, direct injection engine + electric motor",naturally aspirated,4,Hybrid start-stop system,V 6,2000 cm3 /  cui,345 kW / 469 PS / 463 hp  (ECE),430 Nm / 317 ft-lb,,dual clutch automatic,7, ,, , /  / 2.6 l/100km,,,,,,,,,- / - / - / 
